Catalog name,Number of alternative names,Metaphorical and non-metaporical names,Species,Abundance,General shape of the tuber,Eye depth,Primary color of tuber skin,Secondary color of the skin of the tuber,Tuber secondary color distribution,Predominant color of the pulp of the tuber,Secondary color of the pulp of the tuber,Distribution of the secondary color of the flesh,Growth habit,Stem color,Stem wings shape,Number of lateral leaflets,Number of interleafs,Dry matter (%),Yield per plant (kg),Number of tubers per plant,Sprouting time,Adaptation range (msnm),Behavior against frost,Late Blight Resistance,Calyx color,Pedicel color,Flowering degree,Corolla shape,Primary color of the flower,Secondary flower color,Distribution of the secondary color of the flower,Anther pigmentation,Pistil pigmentation,Predominant bud color,Secondary bud color,Distribution of the secondary color of the bud,Berry color,Berry shape,Description of the cultivar,Cultural Uses,Culinary Uses,Cooking Time
Callua Shoga,1,Indirect/Object,Solanum tuberosum (Group: Andigenum),Common,Flattened obovate,Superficial,Pale yellow,Pale purple,Splattered spots,White,Absent,Absent,Semi-erect,Green with few spots,Straight,3 pairs,1 pair,22.59 27.08,1.96 - 2.90,28 - 49,Intermediate,3400 - 3800,Intermediate,Susceptible,Green with few spots,Slightly pigmented along length and at joint,Moderate,Rotated,Intense purple,White,Few blemishes or spots,No anthocyanins,Pigmented,White,Purple,Many stains throughout,Green with white dots,Ovoid,"Its name derives from its shape, similar to the Callua (70 to 80 cm wooden weaving instrument, widely used in the area), and from Shoga , which means pink/ purple-lead color. Produces large tubers, its texture and flavor depend on the soil; if it’s grown in dark soils, its texture is watery, but if it is grown in red soils, its texture is mealy and with a tasty flavor when boiled. It is widely used to prepare potatoes with guinea pig, a typical dish.",,"Fried, peeled, parboiled",Fast
Callua Negra,4,Indirect/Object,Solanum tuberosum (Group: Andigenum),Common,Flattened obovate,Superficial,Intense purple,Absent,Absent,White,Absent,Absent,Semi-erect,Pigmented with abundant green,Jagged,4 pairs,1 pair,23.18 26.66,1.48 - 2.30,22 - 70,Intermediate,3300 - 4100,Resistant,Resistant,Pigmented with abundant green,Fully pigmented,Scarse,Pentagonal,Intense violet,Absent,Absent,Pigmented spot on apex,Other (Pigmented style),White,Purple,At base,Green,Globose,"It is characterized by its rusticity. It yields well from 3000 to 4100m above sea level, even in fields that have been previously cultivated (Shiguas). It is known as Curau Paula or Curau Girón because it was obtained by a lady named Paula Girona from among the wild plants that grow with corn. It has thick leaves resembling those of the fig (Ficus carica) and the shape and color of the tubers also resemble the fig. It is resistant to the roundworm (Premnotrypes sp). Its texture is watery, so it is usually eaten peeled, fried and with guinea pig.",,"Peeled, fried, soup, stew",Intermediate
Camotilla,2,Indirect/Crop,Solanum tuberosum (Group: Goniocalyx),Common,Elliptical,Protruding,Intense brown,"Red, medium purple",Splattered spots,Yellow,Absent,Absent,Semi-erect,Green,Straight,4 pairs,1 pair,26.94 27.24,0.40 - 1.21,12 - 61,Fast,3500 - 3800,Susceptible,Susceptible,Green with abundant spots,Slightly pigmented along length and at joint,Moderate,Half-starred,Pale purple,White,Acumen - back,Pigmented spot on apex,No anthocyanins,Pink,White,In buds,Green with pigmented areas,Globose,"It is a commercial variety that resembles the sweet potato due to the color of the skin and the shape of the tuber. It is very susceptible to disease. When affected by frost, it loses the ability to regrow. It has a floury texture and is very tasty. When parboiled with skin, it comes off the pulp. If it’s prepared in soup “it crumbles apart” and the soup is yellow in color.",Commercial,"Parboiled, soup",Slow
Castilla,0,No information,Solanum tuberosum (Group: Goniocalyx),Scarse,Compressed,Deep,"Red, intense purple",Absent,Absent,Light yellow,Red,Wide vascular ring,Semi-erect,Green with few spots,Curly,4 pairs,2 pairs,24.33 27.58,0.90 - 2.60,39 - 82,Intermediate,3500 - 3800,Intermediate,Resistant,Pigmented with abundant green,Fully pigmented,Moderate,Rotated,Medium lilac,Absent,Absent,No anthocyanins,Pigmentation on inner wall ovary,Red,Pink,Few spots throughout,Green,Ovoid,"It is a little-known variety, even within the Tayabamba area. It is cultivated in mixture and mainly for family consumption. Its skin does not break when boiled and it has a mealy texture. It has a very tasty taste.",Family consumption,Parboiled,Slow
Cayselina,1,Indirect/Object,Solanum tuberosum (Group: Andigenum),Scarse,Compressed,Deep,"Red, medium purple",Pale yellow,Like glasses,White,Absent,Absent,Straight,Pigmented with abundant green,Jagged,3 pairs,2 pairs,26.14 31.07,1.30 - 1.68,49 - 102,Intermediate,3800 - 4100,Resistant,Intermediate,Pigmented with little green,Fully pigmented,Moderate,Rotated,Intense purple,White,Few blemishes or spots,No anthocyanins,Pigmentation on inner wall ovary,Pink,White,In buds,Green with few white dots,Globose,"It’s a variety cultivated mostly in mixture, but only by a few families in the community. It is intended mainly for family consumption. The skin does not break when boiled and its texture is watery.",Family consumption,Parboiled,Slow
Cerrena Negra,1,Indirect/Object,Solanum tuberosum (Group: Goniocalyx),Scarse,Compressed,Medium,Intense yellow,Intense purple,Scattered spots,Intense yellow,Absent,Absent,Semi-erect,Green with few spots,Curly,4 pairs,1 pair,25.72 26.71,1.45 - 2.50,34 - 41,Fast,3500 - 3800,Susceptible,Intermediate,Green with abundant spots,Fully pigmented,Moderate,Very rotated,Intense lilac,White,Few blemishes or spots,Pigmented bands,Pigmentation on inner wall ovary,Purple,Absent,Absent,Green with pigmented areas,Globose,"It is a scarce variety and cultivated only by a few families in the community for family consumption. The skin does not break when boiled, its texture is watery and its flavor is very tasty.",Family consumption,"Parboiled, soup",Intermediate
Chajpa Blanca,1,Direct/Tuber Color,Solanum tuberosum (Group: Goniocalyx),Abundant,Compressed,Very,Pale yellow,"Red, intense purple",Splattered spots,Cream,Absent,Absent,Semi-erect,Green with few spots,Absent,4 pairs,2 pairs,29.14 34.56,1.71 - 2.00,28 - 45,Intermediate,3500 - 4100,Resistant,Intermediate,Pigmented with little green,Pigmented joint only,Moderate,Very rotated,Pale purple,White,Acumen - back,No anthocyanins,Pigmented (stigma and ovary),Purple,White,In buds,Green with abundant white dots,Ovoid,"This variety does not store very well because the center of the pulp hardens over time. Producers say that “it grows roots in the center” and can no longer be consumed. When parboiled, the skin does not break, its texture is mealy. It is used to prepare chuno and the flavor is very tasty.",,"Parboiled, chuno, dry potato",Intermediate
Chajpa Colorada,2,Direct/Tuber Color,Solanum tuberosum (Group: Goniocalyx),Abundant,Compressed,Deep,"Red, intense purple",Absent,Absent,White,Violet,Scattered areas,Semi-erect,Green with few spots,Straight,3 pairs,2 pairs,27.08 32.29,1.16 - 2.00,23 - 120,Intermediate,3500 - 4100,Intermediate,Resistant,Pigmented with little green,Pigmented over joint,Moderate,Rotated,Medium purple,White,Acumen - back,Pigmented bands,Pigmented (stigma and ovary),Violet,Absent,Absent,Green with abundant white dots,Ovoid,"Old variety. The color of its skin is similar to the color of the flower of the chajpa (plant of the area), hence its name. It is susceptible to the potato webworm (Premnotrypes sp.). It is generally consumed parboiled, but accompanied by liquids since its dry floury texture makes it difficult to consume. Its skin is broken and the pulp is detached. It is not prepared in soup or chuno since the dark color of its pulp stains or dyes it red, its flavor is very tasty.",,Parboiled,Intermediate
Chaucha Shoga,1,Indirect/State of being,Solanum tuberosum (Group: Andigenum),Common,Compressed,Medium,Pale yellow,Medium purple,Splattered spots,Cream,Absent,Absent,Decumbent,Green with few spots,Jagged,3 pairs,2 pairs,22.45 26.54,1.08 - 2.20,66 - 88,Short,3500 - 3800,Susceptible,Intermediate,Green with abundant spots,Fully pigmented,Moderate,Pentagonal,Intense purple,Absent,Absent,No anthocyanins,No anthocyanins,Purple,White,At apex,Green,Ovoid,"The leaflets of its leaves are thick, so it is not attacked by leaf pests. It is not good for storage “since when it is stored the center of the pulp spoils” (it rots) mentioned by the producers. When boiled, the skin does not break and its texture is watery. Preferably used for frying.",,"Peeled, fried, dry potato, parboiled",Slow
Pata de Buey,0,Indirect/Body parts,Solanum tuberosum (Group: Andigenum),Scarse,Compressed,Medium,Pale yellow,Pale purple,Splattered spots,Light yellow,Absent,Absent,Semi-erect,Green with few spots,Jagged,3 pairs,1 pair,21.10 24.95,1.00 - 2.17,37 - 71,Intermediate,3500 - 3800,Resistant,Resistant,Green with few spots,Fully pigmented,Moderate,Rotated,Intense purple,White,Acumen - back,No anthocyanins,No anthocyanins,Purple,White,At apex,Green with pigmented areas,Ovoid,"Its name is related to the diameter of the tuber, which is generally large (8-12 cm) and is compared to the leg (hoof) of an ox (pata de buey), which is large. When parboiled, the skin does not break, its texture is a bit floury, and its flavor is tasty.",,"Parboiled, peeled, chuno",Slow
Chilca Morada,0,Indirect/Plant,Solanum tuberosum (Group: Andigenum),Common,Oblong,Medium,Intense purple,Absent,Absent,White,Purple,Narrow vascular ring,Straight,Green with many spots,Curly,4 pairs,1 pair,23.24 29.03,1.38 - 2.00,36 - 69,Intermediate,3800 - 4100,Resistant,Resistant,,,No buds,,,,,,,Purple,White,In buds,,,"This variety is characterized by not flowering or rarely showing flowers. Its name comes from its similarity to the chilca plant (Baccharis latifolia) that grows wild in the area, and from the purple color of its tuber. This variety has a tasty flavor and is prepared boiled for lunch during the harvest. “ When prepared, it’s taken out of the pot halfway cooked, cause if it is cooked well it sticks to the teeth” the community members mention.",,"Parboiled, soup, chuno, dry potato",Slow
Chilleca,0,No information,Solanum tuberosum (Group: Andigenum),Scarse,Oval,Superficial,Intense brown,Intense purple,Scattered spots,Cream,Absent,Absent,Semi-erect,Green with many spots,Jagged,3 pairs,1 pair,25.00 30.41,0.94 - 1.50,33 - 44,Intermediate,3500 - 4100,Resistant,Resistant,Green with few spots,Pigmented below joint,Moderate,Rotated,Intense lilac,White,Acumen - both,No anthocyanins,Pigmentation on inner wall ovary,Purple,White,Many stains throughout,Green,Globose,A very rare variety and grown mostly for home consumption. The skin does not open when cooked and its texture is mealy.,Family consumption,"Parboiled, roast, chuno, dry potato",Slow
Tarmena Colorada,2,Direct/Origin and Tuber Color,Solanum tuberosum (Group: Andigenum),Common,Compressed,Deep,"Red, intense purple",Pale yellow,Like glasses,Yellow,Absent,Absent,Semi-erect,Pigmented with abundant green,Jagged,4 pairs,2 pairs,23.00 24.95,1.20 - 2.33,26 - 65,Intermediate,3500 - 3800,Resistant,Resistant,Pigmented with little green,Fully pigmented,Moderate,Rotated,Intense purple,Absent,Absent,No anthocyanins,No anthocyanins,Purple,White,In buds,Green with pigmented areas,Globose,"This variety is cultivated in small quantities since it has to be consumed immediately after the harvest, because it becomes bitter when stored or if it is exposed to the sun for a short time. It is resistant to the roundworm (Premnotrypes sp.) and produces very well in fertile soils “it likes fertilizer”, say the farmers. By boiling it immediately after harvesting, the skin does not break and remains attached to the pulp. Its texture is floury, with a chewy appearance and a tasty flavor",,"Peeled, fried, soup",Slow
Cuerno de Buey,1,Indirect/Body parts,Solanum tuberosum (Group: Andigenum),Common,Elongated fusiform,Superficial,Intense purple,Medium yellow,Like glasses,Cream,Absent,Absent,Semi-erect,Pigmented with little green,Straight,4 pairs,1 pair,24.31 28.99,1.78 - 2.10,37 - 70,Intermediate,3500 - 4100,Resistant,Susceptible,Green with abundant spots,Slightly pigmented along length and at joint,Moderate,Rotated,Intense purple,White,Acumen - both,Pigmented spot on apex,Other (Pigmented Style),Purple,White,At apex,Green with abundant white dots,Ovoid,"Its name comes from the fact that the shape of the tuber resembles the antlers of an ox (Cuerno de Buey). When parboiled, the skin adheres to the pulp, its texture is a bit watery, and it is generally consumed roasted.",,"Parboiled, roast",Slow
Curau Blanco,2,Direct/Origin and Tuber Color,Solanum tuberosum (Group: Andigenum),Common,Oblong,Medium,Intense brown,Pale purple,Splattered spots,Cream,Violet,Few spots,Semi-erect,Green with many spots,Straight,4 pairs,1 pair,30.28 34.63,1.20 - 2.01,38 - 63,Intermediate,3000 - 4100,Resistant,Resistant,Purple,Fully pigmented,Moderate,Half-starred,Pale violet,White,Few blemishes or spots,No anthocyanins,No anthocyanins,Purple,White,In buds,Green,Globose,"Farmers say that their skin has structures “like scales“ that come off. It is planted and at the same time coexists in the same field with corn. It produces very well and is a very rustic variety. As the community members say: “it is not lost and it’s maintained year after year”. Due to its tasty flavor, it is prepared for lunch on harvest day. When parboiled, the skin breaks and its texture is mealy.",,"Parboiled, chuno, dry potato",Slow
Collota,1,Indirect/Object,Solanum tuberosum (Group: Andigenum),Common,Oblong,Superficial,Intense purple,Absent,Absent,White,Purple,Wide vascular ring,Semi-erect,Green with many spots,Straight,4 pairs,2 pairs,23.76 28.36,1.10 - 2.54,30 - 91,Intermediate,3500 - 3800,Resistant,Resistant,Green with abundant spots,Slightly pigmented along length and at joint,Moderate,Very rotated,Intense purple,White,Acumen - back,No anthocyanins,Pigmentation on inner wall ovary,Purple,White,In buds,Green with pigmented areas,Ovoid,"The shape of its tuber resembles a collota (part of the mortar used to grind food), hence its name. Añilla comes from the blue spots (indigo) that the pulp presents. It is generally consumed parboiled since if it is prepared in soup, it turns blue. When parboiled, the skin detaches from the pulp, it has a floury texture and a very tasty flavor.",,Parboiled,Slow
Shocpi Rojo,4,Direct/Cooking,Solanum tuberosum (Group: Andigenum),Common,Flattened oblong,Superficial,"Red, pale purple",Absent,Absent,Cream,Absent,Absent,Decumbent,Green with many spots,Curly,4 pairs,2 pairs,21.75 25.91,1.56 - 2.60,28 - 74,Intermediate,3500 - 4100,Resistant,Resistant,Pigmented with little green,Pigmented over joint,Moderate,Rotated,Medium lilac,White,Acumen - both,Pigmented spot on apex,No anthocyanins,Pink,White,At apex,Green with abundant white dots,Conical,"It is cultivated for family consumption, mixed and in small quantities. They gave it that name because when it is parboiled and pressure is exerted on one of its ends, the pulp is released, leaving the shell complete, this characteristic is known as Shocpi. The farmers say that “it’s very easy for a woman to eat with her newborn baby, since with one hand she carries the baby and with the other hand she can peel her potato.“ It is a variety of watery texture.",Family consumption,"Parboiled, peeled",Intermediate
Escalera Blanca,1,Indirect/Object and Color,Solanum tuberosum (Group: Andigenum),Common,Oblong flattened,Medium,Medium yellow,"Red, medium purple",Splattered spots,White,Absent,Absent,Straight,Green with few spots,Jagged,3 pairs,1 pair,23.74 28.39,1.40 - 1.73,37 - 62,Intermediate,3500 - 4100,Resistant,Resistant,Green with few spots,Pigmented below joint,Moderate,Very rotated,Medium purple,White,Acumen - both,No anthocyanins,No anthocyanins,White,Pink,At base,Green,Globose,"Its name comes from the fact that, looking at it in profile, the tuber resembles a ladder (escalera), and white (blanca) due to its light color. It is also known as Llanque because of its oblong-flattened shape, similar to llanque (rubber footwear generally used in the mountains) and, also, because when looking at the tuber in plant stage, the internodes stand out giving the appearance of llanque straps. When parboiled, the skin does not break, its texture is mealy and its flavor tasty",,"Parboiled, soup",Slow
Escalera Colorada,1,Indirect/Object and Color,NN NN NN NN,Common,Flattened oblong,Deep,"Red, medium purple",Medium yellow,Splattered spots,White,Absent,Absent,Straight,Green with few spots,Jagged,3 pairs,1 pair,24.95 27.56,0.90 - 1.70,26 - 71,Intermediate,3500 - 4100,Resistant,Resistant,Green with abundant spots,Pigmented below joint,Moderate,Very rotated,Medium purple,White,Acumen - both,No anthocyanins,No anthocyanins,White,Pink,At base,Green with pigmented areas,Globose,"This variety is a variant of the ladder group, called red ladder for its red color. When parboiled, its skin does not break, its texture is mealy and its flavor tasty.",,"Parboiled, peeled",Slow
Escalera Negra,2,Indirect/Object and Color,Solanum tuberosum (Group: Andigenum),Common,Flattened oblong,Deep,Intense purple,Medium yellow,In eyebrows,White,Absent,Absent,Straight,Green with few spots,Jagged,4 pairs,2 pairs,24.26 27.85,1.00 - 2.10,27 - 44,Intermediate,3500 - 4100,Resistant,Intermediate,Green with abundant spots,Pigmented below joint,Moderate,Rotated,Medium purple,White,Acumen - both,No anthocyanins,No anthocyanins,White,Pink,At base,Green with pigmented areas,Globose,"This is another variant of the group of stairs (escaleras). It’s called black ladder because of the dark color of its tuber, and it is cultivated in a mixture for family consumption. When parboiled, the skin breaks, it has a floury texture and its flavor is tasty.",,"Parboiled, peeled",Intermediate
Espalda de Venado,1,Indirect/Body parts,Solanum tuberosum (Group: Andigenum),Common,Compressed,Superficial,Pale yellow,Medium purple,Splattered spots,Cream,Absent,Absent,Semi-erect,Green with many spots,Curly,4 pairs,2 pairs,23.34 28.27,1.36 - 2.10,42 - 65,Intermediate,3500 - 4100,Intermediate,Resistant,Pigmented with abundant green,Slightly pigmented along length and at joint,Moderate,Rotated,Deep purple,White,Acumen - both,No anthocyanins,No anthocyanins,Purple,White,Few spots throughout,Green with pigmented areas,Globose,"Its name is due to the color of the tuber, which according to the community members is similar to the color of the deer’s back (espalda de venado) (Odocoileus peruvianus) that inhabits the community. When parboiled, its skin breaks, it has a mealy texture and its starch is sticky, so avoid cooking it too much because when you eat it it sticks to your teeth, its flavor is very tasty.",,"Parboiled, peeled, chuno, dry potato",Slow
Gallinaza,1,Indirect/Animal,Solanum tuberosum (Group: Andigenum),Scarse,Oblong,Deep,Intense blackish,Absent,Absent,White,Purple,Scattered areas,Semi-erect,Reddish,Curly,4 pairs,1 pair,25.17 29.39,1.00 - 1.90,22 - 52,Fast,3500 - 3800,Resistant,Resistant,Green with abundant spots,Fully pigmented,Moderate,Pentagonal,Pale violet,White,Acumen - back,No anthocyanins,No anthocyanins,Purple,Absent,Absent,Green with few white dots,Globose,"The name Gallinaza is due to the dark color of the tuber, similar to that of a bird known as the Gallinazo (Coragyps atratus). It’s an old variety and it is unknown where it was brought from. Chuno is not prepared with it because according to the community members the color of the pulp stains the chuno. When parboiled, its skin does not break, its texture is mealy.",,Parboiled,Intermediate
Gamarra,1,Indirect/Body parts,Solanum tuberosum (Group: Andigenum),Common,Round,Medium,Intense purple,Medium purple,Splattered spots,White,Purple,Scattered areas,Decumbent,Pigmented with abundant green,Jagged,4 pairs,2 pairs,24.95 28.66,0.80 - 1.40,21 - 51,Intermediate,3500 - 4100,Susceptible,Intermediate,Pigmented with little green,Fully pigmented,Moderate,Rotated,Intense purple,White,Acumen - back,Pigmented bands,Pigmentation on inner wall ovary,Purple,Absent,Absent,Green,Globose,"This variety commonly presents cracks in the skin of the tuber and the larger the tubers are, the larger these cracks are, for this reason they call it foot heel, because they relate it to the physical damage suffered by community members who use llanque or flip-flops. “It has to be taken out of the pot half raw” say the ladies, since, if it is cooked too much, it sticks to the teeth when consuming it because the texture is floury and its starch is sticky. Its taste is very tasty.",,Parboiled,Intermediate
Ganta,1,No information,Solanum tuberosum (Group: Goniocalyx),Common,Obovate,Medium,Medium yellow,"Red, intense purple",Splattered spots,Yellow,Absent,Absent,Semi-erect,Green with few spots,Straight,4 pairs,1 pair,26.61 33.33,0.33 - 1.90,7 - 48,Intermediate,3500 - 4100,Susceptible,Intermediate,Pigmented with abundant green,Slightly pigmented along length and at joint,Moderate,Very rotated,Intense purple,Absent,Absent,No anthocyanins,No anthocyanins,Purple,Absent,Absent,Green with abundant white dots,Ovoid,"According to the community members it’s a very old variety. It’s very susceptible to attack by pests such as the piqui-piqui (Epitrix sp.). When parboiled, its skin breaks quickly, its texture is mealy and very soft. If it is cooked for a long time, its pulp disintegrates, which makes it special for the preparation of puree. It has a very tasty taste.",,"Parboiled, soup, chuno, dry potato, puree",Fast
