Catalog name,Number of alternative names,Metaphorical and non-metaporical names,Species,Abundance,General shape of the tuber,Eye depth,Primary color of tuber skin,Secondary color of the skin of the tuber,Tuber secondary color distribution,Predominant color of the pulp of the tuber,Secondary color of the pulp of the tuber,Distribution of the secondary color of the flesh,Growth habit,Stem color,Stem wings shape,Number of lateral leaflets,Number of interleafs,Yield per plant (kg),Number of tubers per plant,Sprouting time,Adaptation range (msnm),Behavior against frost,Late Blight Resistance,Calyx color,Pedicel color,Flowering degree,Corolla shape,Primary flower color,Secondary flower color,Distribution of the secondary color of the flower,Anther pigmentation,Pistil pigmentation,Predominant bud color,Secondary bud color,Distribution of the secondary color of the bud,Description of the cultivar,Cultural Uses,Culinary Uses,Cooking Time
Allqopa Yupin,1,Indirect/Body parts,Solanum tuberosum (Group Andigenum),Scarce ,digitized tablet,Average,Intense red-purple,Brown,Splattered stains,Yellow ,Absent,Absent   ,Decumbent,Green   ,Straight,4 pairs,2 pairs,0.74 kg,17,Intermediate,3800 - 4200 msnm,Tolerant,Resistant,"Green, with few spots ",Lightly pigmented along length and joint,Profuse,Rotated ,light purple,White,Acumen - both (beam and underside) ,Without anthocyanins   ,Pigmented inner ovary wall,Red,White,Few stains throughout,"It is a scarce variety, cultivated by few farmers and only planted in chaqru.",,"Parboiled, chuño, pachamanca",Intermediate
Amarilla,1,Direct/Tuber Color,Solanum tuberosum (Group Goniocalyx),Scarce ,Oblong ,Superficial,intense orange,Absent,Absent ,deep yellow,Absent,Absent   ,Semi-erect,Green   ,Straight,5 pairs,2 pairs,0.29 kg,17,Intermediate,3800 - 4100 msnm,Susceptible,Susceptible,"Pigmented, with abundant green ",Green      ,Moderate,Pentagonal ,light white,Absent,Absent      ,Without anthocyanins   ,Without anthocyanins  ,White,Purple,Few stains throughout,"Very well-known and commercial variety. It has various culinary uses. It is planted in chaqru and separately for marketing. In the communities, when there are commitments or tasks, it is parboiled or added to the broth to give it consistency. They recommend feeding babies with porridge of this variety. In the cities it is used as an ingredient in chicken broth, ají de gallina, causa and papa a la huancaína.",Commercial,"Parboiled, puree, porridge",Short
Amarilla del Centro,2,Direct/Origin and Tuber Color,Solanum tuberosum (Group Goniocalyx),Common ,Concertinate round,Average,Intermediate orange,Absent,Absent ,deep yellow,Absent,Absent   ,Erect,"Green, with few spots",Straight,6 pairs,2 pairs,0.44 kg,17,Early,3300 - 4000 msnm,Susceptible,Susceptible,"Green, with few spots ",Green      ,Profuse,Pentagonal ,Intermediate white,Absent,Absent      ,Without anthocyanins   ,Without anthocyanins  ,White,Violet,At base   ,"This variety is one of the most commercial and widespread at a regional and national level. Its tubers have intense yellow skin and pulp. Its pulp looks like the yolk of a chicken egg. It is floury and due to its good culinary quality and high dry matter content, it is preferred for preparing different stews in traditional and modern cuisine. It is used in chicken broth, causa, ají de gallina.",Commercial,"Parboiled, soups, fried foods, puree, pachamanca",Short
Amarilla Tumbay,3,Direct/Origin and Tuber Color,Solanum tuberosum (Group Goniocalyx),Scarce ,Round ,Average,Medium brown,Absent,Absent ,Cream ,Absent,Absent   ,Semi-erect,"Green, with few spots",Straight,5 pairs,2 pairs,0.65 kg,25,Early,3200 - 4200 msnm,Susceptible,Susceptible,"Green, with few spots ",Green      ,Scarce,Rotated ,light white,Absent,Absent      ,Without anthocyanins   ,Pigmented stigma  ,Red,White,in buds   ,"It is one of the many yellow potatoes. The variety is well known in central Peru, especially in Huánuco (chiqchuy, amaryllis). In Huancavelica it is not very common, but it has been growing in importance since it has commercial demand. It is observed in separate plots intended for the exclusive cultivation of the variety. It is a very floury variety and excellent for preparing causa.",Commercial,"Parboiled, puree, pachamanca, causa, chicken broth, baby food",Short
Angelpa Tantan,4,Indirect/Divine Beings,Solanum tuberosum (Group Andigenum),Abundant ,Round ,Average,Medium brown,Red-purple,Scattered spots,Cream ,Purple,Few stains  ,Decumbent,"Green, with many spots",Straight,5 pairs,2 pairs,0.63 kg,28,Intermediate,3800 - 4400 msnm,Susceptible,Resistant,"Pigmented, with abundant green ",Lightly pigmented along length and joint,Scarce,Rotated ,deep purple,Absent,Absent      ,Without anthocyanins   ,Pigmented inner ovary wall,Violet,White,at apex   ,"It is a variety that is only planted in chaqru despite being grown by most households. According to farmers, it is the bread that once fed angels. Although it is used to make chuño, its shell comes off with difficulty and breaks when stepped on.",,"Parboiled, chuño, pachamanca, watya",Intermediate
Ayrampu,0,Indirect/Plant,Solanum tuberosum (Group Chaucha),Very scarce,Oblong ,Deep,Intense blackish,Absent,Absent ,White ,Absent,Absent   ,Decumbent,"Pigmented, with little green",Straight,6 pairs,2 pairs,1.04 kg,18,Early,3900 - 4300 msnm,Tolerant,Resistant,Purple    ,Fully pigmented     ,Moderate,Rotated ,Intermediate purple,White,acumen underside     ,Without anthocyanins   ,Without anthocyanins  ,Violet,White,in buds   ,"It is a variety with demand in the markets. The tubers resemble the fruit of the Ayrampo (Berberis sp.), hence its name. The tuber has a purple pigment under the skin that stains the mouth when eaten.",Commercial,"Parboiled, chuño, soup, puree",Intermediate
Azul Allqa Walash,1,Indirect/Person and Color,Solanum tuberosum (Group Andigenum),Very scarce,Oblong-elongated nailed,Superficial,Intense blackish,Yellow,Scattered spots,White ,Violet,narrow vascular ring ,Semi-erect,"Pigmented, with little green",Straight,7 pairs,3 pairs,0.81 kg,16,Intermediate,3800 - 4000 msnm,Tolerant,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Moderate,Very rotated,light purple,White,Acumen - both (beam and underside) ,Pigmented lateral bands  ,Without anthocyanins  ,Violet,White,Few stains throughout,This variety has to be planted in low areas. It has a pleasant flavor and today it is only preserved by the custodians.,,"Parboiled, chuño",Intermediate
Azul Aqu Suytu,7,Direct/Tuber Color and Shape,Solanum tuberosum (Group Chaucha),Abundant ,elongated oblong,Superficial,light brown,Purple,Splattered stains,Cream ,Absent,Absent   ,Decumbent,"Green, with few spots",Straight,5 pairs,a couple,0.32 kg,10,Intermediate,3800 - 4200 msnm,Susceptible,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Rotated,Scarce ,light purple,White,Acumen - underside    ,Without anthocyanins   ,Without anthocyanins  ,Purple,Absent,Absent    ,"It is a variety with commercial demand both in Huancavelica and nationally. Farmers mention that it is a “uppity” variety, because it needs good soils and proper management for high yields. This variety has a sweet flavor but is not very floury.",Personhood (Conceited),"Parboiled, chuño, pachamanca, putqui, soup, broth",Short
Azul Chiqchi Pasña,6,Indirect/Person and Color,Solanum tuberosum (Group Chaucha),Scarce ,Compressed ,Deep,Intermediate yellow,Purple,Splattered stains,Cream ,Absent,Absent   ,Decumbent,"Green, with many spots",Straight,5 pairs,2 pairs,0.38 kg,13,Intermediate,3800 - 4400 msnm,Tolerant,Intermediate,"Green, with abundant spots ",Lightly pigmented along length and joint,Scarce,Very rotated,Intermediate purple,White,Acumen - underside    ,Without anthocyanins   ,Without anthocyanins  ,Violet,White,Many stains throughout,"It is a variety that is highly appreciated for bartering. It is a potato much desired by those who know it and it looks like the multicolored blanket that young ladies use. Although it is used to make chuño, its peel comes off with difficulty and when you step on the tuber, it breaks due to its floury texture.",,"Parboiled, pachamanca, chuño, puree",Intermediate
Azul Ñawi Llumchuy Waqachi,1,Indirect/Custom and Color,Solanum tuberosum (Group Andigenum),Scarce ,Round ,Average,Intermediate yellow,Red,in the eyes,Cream ,Absent,Absent   ,Decumbent,"Green, with few spots",Straight,5 pairs,2 pairs,0.54 kg,13,Intermediate,3800 - 3900 msnm,Tolerant,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Scarce,Rotated ,Intermediate purple,White,Acumen - underside    ,Without anthocyanins   ,Without anthocyanins  ,Violet,White,at apex   ,Farmers say that in the time of their grandparents it was used to test the ability of future daughters-in-law to peel potatoes and only those who passed the test could get married. She belongs to the Llumchuy Waqachi group.,Daughters-in-law challenge,Parboiled soup,Short
Azul Ñawi Pasña,2,Indirect/Person and Color,Solanum tuberosum (Group Goniocalyx),Scarce ,Compressed ,Average,light brown,Purple,Splattered stains,Cream ,Absent,Absent   ,Decumbent,"Pigmented, with abundant green",Curly,4 pairs,2 pairs,1 kg,17,Late,3800 - 3900 msnm,Tolerant,Intermediate,"Green, with abundant spots ",Lightly pigmented along length and joint,Moderate,Rotated ,Intermediate purple,White,Acumen - underside    ,Without anthocyanins   ,Pigmented inner ovary wall,Purple,White,in buds   ,"This variety has a floury texture, it is generally planted in chaqru, it has better yields when planted in chiwa. While when planted fallow it tends to produce fewer tubers, it has a tendency to rot and produce aerial tubers in the neck of the plant called “kuncallpo”, which is a symptom of Rhizontonia solani. It is considered one of the oldest varieties",,"Parboiled, pachamanca, watya, barter",Intermediate
Azul Qanchillu,2,Indirect/Object,Solanum juzepczukii  ,Abundant ,Oblong-elongated nailed,Outstanding,light purple,Brown,in the eyes,White ,Absent,Absent   ,Prostrate,Green with few spots,Straight,5 pairs,1 pair,0.28 kg,12,Late,3800 - 4400 msnm,Resistant,Resistant,"Pigmented, with little green ",Lightly pigmented along length and joint,Moderate,Pentagonal ,intense violet,Absent,Absent      ,Without anthocyanins   ,Without anthocyanins  ,Violet,White,At base   ,"This variety is planted separately in small areas. It tubes to the center of the plant, making it difficult to harvest. It is used to prepare ""lataqara"", a dish that consisted of grinding the parboiled and peeled potato with a fulling mill. It was consumed as puree to have more strength to work long hours. Some farmers still maintain this custom. Normally it is consumed in chuño, when there is a shortage of potatoes it is consumed in soups.",,"Chuño, soups (by necessity), lataqara (old grandparents' dish)",Intermediate
Azul Suytu,2,Direct/Tuber Color and Shape,Solanum tuberosum (Group Andigenum),Scarce ,Oblong-elongated ,Average,Intermediate purple,Blackish,Scattered spots,Cream ,Red,splashed   ,Decumbent,"Green, with few spots",Wavy,4 pairs,2 pairs,0.70 kg,14,Intermediate,3800 - 3900 msnm,Tolerant,Susceptible,"Pigmented, with abundant green ",Lightly pigmented along length and joint,Moderate,Rotated ,Intermediate purple,White,Acumen - underside    ,Pigmented lateral bands  ,Pigmented inner ovary wall,Purple,White,in buds   ,It is only planted in a mixture (chaqru). It is not a well-known variety.,,"Parboiled, chuño, pachamanca",Intermediate
Azul Waña,4,Direct/Tuber Color and Flavor,Solanum curtilobum  ,Scarce ,Flattened round,Outstanding,light purple,Yellow,Splattered stains,Violet ,White,Everything but medulla ,Prostrate,"Pigmented, with little green",Wavy,5 pairs,3 pairs,0.67 kg,14,Late,4000 - 4300 msnm,Resistant,Resistant,"Pigmented, with little green ",Lightly pigmented along length and joint,Moderate,Pentagonal ,deep purple,Absent,Absent      ,Without anthocyanins   ,Pigmented inner ovary wall,Violet,White,at apex   ,"It is a variety appreciated for its tolerance to frost and drought and resistance to frost. While other varieties suffer damage until the harvest is lost, this one supports them and ensures the nutrition of farming families while they wait for the next harvest. It is ideal for chuño pasi (parboiled with salt and water). It is considered an aid variety for farmers due to its rusticity.",Family consumption,"Chuño, chuño pasi, chuño mazamorra, chuño lawa, enraptured,",Intermediate
Beso de Novia,0,Indirect/Human action,Solanum tuberosum (Group Andigenum),Very scarce,Oblong-elongated ,Superficial,light brown,Pink,Few stains,Cream ,Red,Wide vascular ring ,Decumbent,Green   ,Wavy,5 pairs,3 pairs,2.18 kg,16,Intermediate,3500 - 4000 msnm,Tolerant,Tolerant,"Green, with abundant spots ",Lightly pigmented along length and joint,Moderate,Rotated ,light purple,Absent,Absent      ,Without anthocyanins   ,Without anthocyanins  ,Red,White,in buds   ,"This variety, due to its pigmentation, is acquiring commercial value in recent years.",,"Parboiled, chuño",Intermediate
Calabacilla,3,Indirect/Crop,Solanum tuberosum (Group Andigenum),Scarce ,Flattened round,Superficial,light purple,Yellow,Splattered stains,Cream ,Absent,Absent   ,Decumbent,"Green, with few spots",Wavy,4 pairs,2 pairs,0.54 kg,19,Intermediate,3400 - 4000 msnm,Tolerant,Resistant,"Green, with abundant spots ",Pigmented joint only    ,profuse,Rotated ,deep purple,White,Acumen - both (beam and underside) ,Apex pigmented spot  ,Pigmented inner ovary wall,Purple,White,at apex   ,It is a native potato variety that is only planted in chaqru. Its name is due to the fact that it is shaped like a small pumpkin (Cucurbita fisifolia).,,"Parboiled, stews, soups, chuño, fried",Intermediate
Camotillo,3,Indirect/Crop,Solanum tuberosum (Group Goniocalyx),Abundant ,Oblong-elongated ,Average,light red,Absent,Absent ,light yellow,Absent,Absent   ,Decumbent,Green   ,Absent,6 pairs,1 pair,0.31 kg,14,Intermediate,3700 - 4200 msnm,Susceptible,Resistant,"Green, with few spots ",Lightly pigmented along length and joint,Scarce,Rotated ,light purple,Absent,Absent      ,Without anthocyanins   ,Without anthocyanins  ,Red,White,in buds   ,"It is a variety with great commercial demand in local and national markets. It is planted separately, sometimes it is planted in chaqru. Some farmers take this variety to the ravines to barter with oranges, custard apples, papayas, avocados and other fruits. As it is quick to cook, care must be taken when parboiling it to prevent it from bursting.",Commercial and Barter,"Parboiled, puree, baby food, pachamanca, watya, chuño, chicken broth.",Short
Challwa,5,Indirect/Animal,Solanum tuberosum (Group Andigenum),Scarce ,Elongate ,Average,Intense blackish,Brown,Scattered spots,Cream ,Purple,Few stains  ,Semi-erect,"Pigmented, with little green",Wavy,4 pairs,2 pairs,0.80 kg,11,Intermediate,3300 - 4000 msnm,Tolerant,Resistant,"Green, with few spots ",Pigmented under joint    ,Moderate,,Intermediate purple,White,Acumen - both (beam and underside) ,Pigmented bands and apex ,Pigmented inner ovary wall,Purple,White,in buds   ,"Challwa is a native species of fish from the Andean region that is on the verge of extinction, because it has been replaced by the introduction of trout and the pollution of streams. The shape of the tubers resembles challwa, hence its name. Its tubers are watery and highly appreciated for making chuño. They are also used as “gift potatoes”. ",Gift,"Parboiled, soups and mostly for chuño",Prolonged
China Shiri,3,Direct/Tuber Shape,Solanum curtilobum  ,Common ,Flattened round,Superficial,light brown,Purple,on eyebrows,Cream ,Absent,Absent   ,semi-roseate,Green with many spots,Wavy,5 pairs,1 pair,0.45 kg,14,Late,4000 - 4300 msnm,Resistant,Resistant,Purple    ,Lightly pigmented along length and joint,Moderate,Rotated ,Intermediate purple,Absent,Absent      ,Without anthocyanins   ,Without anthocyanins  ,White,Violet,Many stains throughout,"The round potatoes are classified as female varieties, that is why they are called “Chinese”, the elongated ones are male varieties. This variety resists the ranch and tolerates frost, so it is planted in the highest areas and in the chiwa tillage system. It is mostly consumed in chuño.",,"Chuño, chuño pasi, chuño mazamorra, soup, frying",Short
Clavelina,3,Indirect/Plant,Solanum tuberosum (Group Goniocalyx),Abundant ,Compressed ,Average,Intermediate red-purple,Absent,Absent ,White ,Absent,Absent   ,Decumbent,"Green, with many spots",Absent,6 pairs,2 pairs,2.3 kg,13,Intermediate,3800 - 4200 msnm,Susceptible,Susceptible,Reddish    ,Lightly pigmented along length and joint,profuse,Very rotated,Intense red-purple,Absent,Absent      ,Apex pigmented spot  ,Without anthocyanins  ,Purple,Absent,Absent    ,"The flowers of this variety resemble the flowers of the carnation (Dianthus caryophyllus), which is where its name comes from. Its tubers are very floury and have excellent culinary properties. Due to their external characteristics, they are easily confused with those of the puka dusis or dusis variety; Knowledgeable farmers scratch the skin in order to identify it. Used to barter with other products.",Barter,"Parboiled, chuño, soup, puree",Short
Chupi Palta,1,Direct/Tuber Shape,Solanum tuberosum (Group Andigenum),Scarce ,Flattened round,Average,Intense red-purple,Absent,Absent ,Cream ,Absent,Absent   ,Decumbent,"Green, with few spots",Straight,5 pairs,2 pairs,0.54 kg,28,Intermediate,3700 - 4000 msnm,Susceptible,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Moderate,Rotated ,deep purple,White,Acumen - underside    ,Without anthocyanins   ,Pigmented inner ovary wall,Violet,White,in buds   ,This variety is planted only in chaqru. It is a flattened round variety that is prized for bartering.,Barter,"Parboiled, soups, chuño",Intermediate
Cuchillu Paqui,1,Indirect/Human action,Solanum tuberosum (Group Andigenum),Scarce ,Flattened round,Average,light yellow,Red-purple,Splattered stains,Cream ,Absent,Absent   ,Decumbent,"Green, with few spots",Wavy,4 pairs,2 pairs,0.93 kg,28,Intermediate,3800 - 4200 msnm,Tolerant,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Scarce,Rotated ,light purple,White,Acumen - both (beam and underside) ,Without anthocyanins   ,Without anthocyanins  ,Red,White,in buds   ,"It is a very old variety. Its shell is very hard, which makes it difficult to peel, which is why it earned the name paqui knife, which means the one who breaks the knife.",,"Chuño, soup",Prolonged
Cuwipa Sullum,2,Not clear,Solanum tuberosum (Group Andigenum),Scarce ,Oblong ,Average,light yellow,Absent,Absent ,Cream ,Absent,Absent   ,semi-roseate,Green with few spots,Straight,3 pairs,1 pair,0.83 kg,25,Very precocious,3700 - 4200 msnm,Susceptible,Susceptible,"Green, with few spots ",Lightly pigmented along length and joint,Scarce,Rotated ,light purple,White,Acumen - underside    ,Without anthocyanins   ,Pigmented stigma  ,Red,White,in buds   ,"This variety, together with others, make up the chaqru to barter with other products. It has a semi-floury texture.",,"Parboiled, chuño, soup",Intermediate
Duraznillo,2,Indirect/Crop,Solanum tuberosum (Group Andigenum),Scarce ,Compressed ,Average,light brown,Red-purple,Splattered stains,light yellow,Absent,Absent   ,Decumbent,"Green, with few spots",Straight,4 pairs,2 pairs,1.00 kg,9,Early,3300 - 4000 msnm,Susceptible,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Moderate,Rotated ,light purple,White,Acumen - underside    ,Without anthocyanins   ,Pigmented inner ovary wall,Purple,White,in buds   ,"This variety, due to its shape and color combination of the tuber, resembles a peach, hence its name. It is an old variety that has been cultivated in Huancavelica for several generations. Its tubers are floury and peel easily after boiling. Its use as a “gift potato” is common.",Gift,"Parboiled, soups, pachamanca, chuño",Intermediate
Frescos,2,Indirect/State of being,Solanum tuberosum (Group Andigenum),Abundant ,Compressed ,Average,light red,Yellow,like glasses,Cream ,Absent,Absent   ,Decumbent,Green   ,Wavy,4 pairs,2 pairs,0.45 kg,9,Intermediate,3800 - 4000 msnm,Tolerant,Susceptible,Green    ,Green      ,Scarce,Rotated ,Intermediate white,Absent,Absent      ,Without anthocyanins   ,Without anthocyanins  ,Red,White,in buds   ,This early variety was possibly introduced from Cusco during the hacienda era. Some farmers plant it separately. It has a good yield and is floury with a pleasant flavor.,,"Parboiled, chuño, soup, puree",Intermediate
Guindo Muru Llumchuy Waqachi,1,Indirect/Custom and Color,Solanum tuberosum (Group Chaucha),Scarce ,tuberosized oblong,Superficial,deep red,Blackish,Splattered stains,light yellow,Absent,Absent   ,Decumbent,"Green, with many spots",Straight,5 pairs,1 pair,0.34 kg,12,Intermediate,3900 - 4000 msnm,Susceptible,Susceptible,"Pigmented, with abundant green ",Lightly pigmented along length and joint,Scarce,Rotated ,light purple,White,Acumen - both (beam and underside) ,Pigmented lateral bands  ,Pigmented inner ovary wall,Violet,Absent,Absent    ,"Traditionally, this variety was used for its shape and difficulty in peeling to test the ability of girls aspiring to be daughters-in-law, hence its name Llumchuy waqachi, only those who passed this test could get married. Currently this custom is no longer practiced. This variety has a medium texture, it is not floury or watery so it is pleasant to the palate.",Daughters-in-law challenge,"Parboiled, chuño, pachamanca, watya",Intermediate
Huancavelicana,4,Indirect/Person,Solanum tuberosum (Group Andigenum),Scarce ,Compressed ,Average,Medium brown,Red-purple,around the eyes,light yellow,Absent,Absent   ,Decumbent,"Green, with many spots",Absent,4 pairs,4 pairs,0.47 kg,12,Intermediate,3800 - 4000 msnm,Susceptible,Susceptible,"Pigmented, with little green ",Lightly pigmented along length and joint,Moderate,Rotated ,light purple,Absent,Absent      ,Without anthocyanins   ,Pigmented stigma  ,Red,White,in buds   ,The tubers of this variety resemble the beautiful eyes of the pasñas (young unmarried women) of Huancavelica. It is a variety with a floury texture.,,"Parboiled, chuño, watya, soup",Intermediate
